,DATE,Profil,Région,Total énergie soutirée (Wh),Nb points soutirage
71,2022-04-02,RES4,Hauts-de-France,717310144.0,1304208
72,2022-04-03,ENT3 (+ ENT4 + ENT5),Centre-Val de Loire,82072564.0,42864
73,2022-04-03,ENT3 (+ ENT4 + ENT5),Hauts-de-France,100605660.0,41424
74,2022-04-03,PRO1 (+ PRO1WE),Centre-Val de Loire,1926024808.0,4810256
75,2022-04-03,PRO1 (+ PRO1WE),Hauts-de-France,4107191560.0,9257644
76,2022-04-03,PRO2 (+ PRO2WE + PRO6),Centre-Val de Loire,1847920337.0,1966440
77,2022-04-03,PRO2 (+ PRO2WE + PRO6),Hauts-de-France,3538714404.0,3538436
78,2022-04-03,PRO3,Centre-Val de Loire,69467531.0,66520
79,2022-04-03,PRO3,Hauts-de-France,103108031.0,83084
80,2022-04-03,PRO4,Centre-Val de Loire,74482161.0,113616
81,2022-04-03,PRO4,Hauts-de-France,109476689.0,118892
82,2022-04-03,PRO5,Centre-Val de Loire,407370369.0,1211520
83,2022-04-03,PRO5,Hauts-de-France,1080899877.0,1989696
84,2022-04-03,RES1 (+ RES1WE),Centre-Val de Loire,3739981088.0,23016748
85,2022-04-03,RES1 (+ RES1WE),Hauts-de-France,10291786278.0,59283228
86,2022-04-03,RES11 (+ RES11WE),Centre-Val de Loire,3556811152.0,6853316
87,2022-04-03,RES11 (+ RES11WE),Hauts-de-France,4536128293.0,8872264
88,2022-04-03,RES2 (+ RES5),Centre-Val de Loire,19130298988.0,28847635
89,2022-04-03,RES2 (+ RES5),Hauts-de-France,31927212683.0,56283860
90,2022-04-03,RES2WE,Centre-Val de Loire,355113874.0,524092
91,2022-04-03,RES2WE,Hauts-de-France,776652233.0,1303872
92,2022-04-03,RES3,Centre-Val de Loire,290319339.0,431756
93,2022-04-03,RES3,Hauts-de-France,476272929.0,693556
94,2022-04-03,RES4,Centre-Val de Loire,506945701.0,991004
95,2022-04-03,RES4,Hauts-de-France,699419902.0,1304200
96,2022-04-04,ENT3 (+ ENT4 + ENT5),Centre-Val de Loire,87999092.0,42864
97,2022-04-04,ENT3 (+ ENT4 + ENT5),Hauts-de-France,102359528.0,41424
98,2022-04-04,PRO1 (+ PRO1WE),Centre-Val de Loire,2338351760.0,4810692
99,2022-04-04,PRO1 (+ PRO1WE),Hauts-de-France,4993134546.0,9261060
100,2022-04-04,PRO2 (+ PRO2WE + PRO6),Centre-Val de Loire,2027583511.0,1966652
101,2022-04-04,PRO2 (+ PRO2WE + PRO6),Hauts-de-France,3887556979.0,3538652
102,2022-04-04,PRO3,Centre-Val de Loire,71097865.0,66428
103,2022-04-04,PRO3,Hauts-de-France,106365579.0,83040
104,2022-04-04,PRO4,Centre-Val de Loire,73500702.0,113608
105,2022-04-04,PRO4,Hauts-de-France,107770110.0,118844
106,2022-04-04,PRO5,Centre-Val de Loire,402888555.0,1211520
107,2022-04-04,PRO5,Hauts-de-France,1070214314.0,1989700
108,2022-04-04,RES1 (+ RES1WE),Centre-Val de Loire,3380817540.0,23019444
109,2022-04-04,RES1 (+ RES1WE),Hauts-de-France,9316177053.0,59290064
110,2022-04-04,RES11 (+ RES11WE),Centre-Val de Loire,3215961798.0,6854800
111,2022-04-04,RES11 (+ RES11WE),Hauts-de-France,4107504330.0,8875396
112,2022-04-04,RES2 (+ RES5),Centre-Val de Loire,17583893406.0,28850099
113,2022-04-04,RES2 (+ RES5),Hauts-de-France,29436976832.0,56288304
114,2022-04-04,RES2WE,Centre-Val de Loire,298271355.0,523904
115,2022-04-04,RES2WE,Hauts-de-France,668323322.0,1303336
116,2022-04-04,RES3,Centre-Val de Loire,241167635.0,431708
117,2022-04-04,RES3,Hauts-de-France,400172631.0,693604
118,2022-04-04,RES4,Centre-Val de Loire,465567562.0,990952
119,2022-04-04,RES4,Hauts-de-France,641802414.0,1304100
120,2022-04-05,ENT3 (+ ENT4 + ENT5),Centre-Val de Loire,88887880.0,42864
121,2022-04-05,ENT3 (+ ENT4 + ENT5),Hauts-de-France,104170244.0,41416
122,2022-04-05,PRO1 (+ PRO1WE),Centre-Val de Loire,2291274739.0,4811652
123,2022-04-05,PRO1 (+ PRO1WE),Hauts-de-France,4897126201.0,9260404
124,2022-04-05,PRO2 (+ PRO2WE + PRO6),Centre-Val de Loire,1985985938.0,1966116
125,2022-04-05,PRO2 (+ PRO2WE + PRO6),Hauts-de-France,3807962914.0,3538528
126,2022-04-05,PRO3,Centre-Val de Loire,71577069.0,66384
127,2022-04-05,PRO3,Hauts-de-France,107777072.0,83036
128,2022-04-05,PRO4,Centre-Val de Loire,71086976.0,113512
129,2022-04-05,PRO4,Hauts-de-France,104473975.0,118796
130,2022-04-05,PRO5,Centre-Val de Loire,402008936.0,1211520
131,2022-04-05,PRO5,Hauts-de-France,1068408169.0,1989740
132,2022-04-05,RES1 (+ RES1WE),Centre-Val de Loire,3180145082.0,23016588
133,2022-04-05,RES1 (+ RES1WE),Hauts-de-France,8769500646.0,59282732
134,2022-04-05,RES11 (+ RES11WE),Centre-Val de Loire,2841241113.0,6857172
135,2022-04-05,RES11 (+ RES11WE),Hauts-de-France,3629456489.0,8876072
136,2022-04-05,RES2 (+ RES5),Centre-Val de Loire,15115353912.0,28845799
137,2022-04-05,RES2 (+ RES5),Hauts-de-France,25319369545.0,56282612
138,2022-04-05,RES2WE,Centre-Val de Loire,258159769.0,524256
139,2022-04-05,RES2WE,Hauts-de-France,578512365.0,1303236
140,2022-04-05,RES3,Centre-Val de Loire,214077127.0,431660
141,2022-04-05,RES3,Hauts-de-France,354708073.0,693648
142,2022-04-05,RES4,Centre-Val de Loire,415492462.0,990856
143,2022-04-05,RES4,Hauts-de-France,572154563.0,1303948
144,2022-04-06,ENT3 (+ ENT4 + ENT5),Centre-Val de Loire,86134464.0,42868
145,2022-04-06,ENT3 (+ ENT4 + ENT5),Hauts-de-France,101106364.0,41332
146,2022-04-06,PRO1 (+ PRO1WE),Centre-Val de Loire,2154251340.0,4812148
147,2022-04-06,PRO1 (+ PRO1WE),Hauts-de-France,4611874291.0,9260452
148,2022-04-06,PRO2 (+ PRO2WE + PRO6),Centre-Val de Loire,1882333342.0,1966496
149,2022-04-06,PRO2 (+ PRO2WE + PRO6),Hauts-de-France,3609684304.0,3537688
150,2022-04-06,PRO3,Centre-Val de Loire,69291155.0,66376
151,2022-04-06,PRO3,Hauts-de-France,104197128.0,82992
152,2022-04-06,PRO4,Centre-Val de Loire,69579170.0,113424
153,2022-04-06,PRO4,Hauts-de-France,102046779.0,118752
154,2022-04-06,PRO5,Centre-Val de Loire,399476635.0,1211552
155,2022-04-06,PRO5,Hauts-de-France,1061734199.0,1989712
156,2022-04-06,RES1 (+ RES1WE),Centre-Val de Loire,3175488596.0,23015604
157,2022-04-06,RES1 (+ RES1WE),Hauts-de-France,8773919970.0,59285608
158,2022-04-06,RES11 (+ RES11WE),Centre-Val de Loire,2701473236.0,6858236
159,2022-04-06,RES11 (+ RES11WE),Hauts-de-France,3455836087.0,8877248
160,2022-04-06,RES2 (+ RES5),Centre-Val de Loire,14171705265.0,28846475
161,2022-04-06,RES2 (+ RES5),Hauts-de-France,23818839588.0,56283872
162,2022-04-06,RES2WE,Centre-Val de Loire,239567590.0,524236
163,2022-04-06,RES2WE,Hauts-de-France,537723538.0,1303112
164,2022-04-06,RES3,Centre-Val de Loire,205713042.0,431608
165,2022-04-06,RES3,Hauts-de-France,341130999.0,693656
166,2022-04-06,RES4,Centre-Val de Loire,395698218.0,990760
167,2022-04-06,RES4,Hauts-de-France,545139954.0,1303700
168,2022-04-07,ENT3 (+ ENT4 + ENT5),Centre-Val de Loire,84007116.0,42916
169,2022-04-07,ENT3 (+ ENT4 + ENT5),Hauts-de-France,98651844.0,41376
170,2022-04-07,PRO1 (+ PRO1WE),Centre-Val de Loire,2132896138.0,4813264
171,2022-04-07,PRO1 (+ PRO1WE),Hauts-de-France,4572941178.0,9260572
172,2022-04-07,PRO2 (+ PRO2WE + PRO6),Centre-Val de Loire,1864345167.0,1966336
173,2022-04-07,PRO2 (+ PRO2WE + PRO6),Hauts-de-France,3585318609.0,3538104
174,2022-04-07,PRO3,Centre-Val de Loire,70889634.0,66288
175,2022-04-07,PRO3,Hauts-de-France,105791433.0,82996
176,2022-04-07,PRO4,Centre-Val de Loire,70103461.0,113424
177,2022-04-07,PRO4,Hauts-de-France,102365614.0,118752
178,2022-04-07,PRO5,Centre-Val de Loire,395860399.0,1211908
179,2022-04-07,PRO5,Hauts-de-France,1053631751.0,1989892
180,2022-04-07,RES1 (+ RES1WE),Centre-Val de Loire,3047798634.0,23015060
181,2022-04-07,RES1 (+ RES1WE),Hauts-de-France,8428135812.0,59289076
182,2022-04-07,RES11 (+ RES11WE),Centre-Val de Loire,2562589759.0,6859864
183,2022-04-07,RES11 (+ RES11WE),Hauts-de-France,3280282109.0,8877888
184,2022-04-07,RES2 (+ RES5),Centre-Val de Loire,13151873304.0,28847163
185,2022-04-07,RES2 (+ RES5),Hauts-de-France,22153365150.0,56283700
186,2022-04-07,RES2WE,Centre-Val de Loire,223857763.0,524140
187,2022-04-07,RES2WE,Hauts-de-France,502452793.0,1303392
188,2022-04-07,RES3,Centre-Val de Loire,208207497.0,431536
189,2022-04-07,RES3,Hauts-de-France,340261988.0,693756
190,2022-04-07,RES4,Centre-Val de Loire,386109288.0,990668
191,2022-04-07,RES4,Hauts-de-France,530387844.0,1303392
192,2022-04-08,ENT3 (+ ENT4 + ENT5),Centre-Val de Loire,80787992.0,42960
193,2022-04-08,ENT3 (+ ENT4 + ENT5),Hauts-de-France,95760220.0,41376
194,2022-04-08,PRO1 (+ PRO1WE),Centre-Val de Loire,2165933840.0,4813384
195,2022-04-08,PRO1 (+ PRO1WE),Hauts-de-France,4646469110.0,9261460
196,2022-04-08,PRO2 (+ PRO2WE + PRO6),Centre-Val de Loire,1899449636.0,1966464
197,2022-04-08,PRO2 (+ PRO2WE + PRO6),Hauts-de-France,3655214513.0,3537804
198,2022-04-08,PRO3,Centre-Val de Loire,72197503.0,66284
199,2022-04-08,PRO3,Hauts-de-France,107713398.0,83040
200,2022-04-08,PRO4,Centre-Val de Loire,74383247.0,113420
201,2022-04-08,PRO4,Hauts-de-France,107535722.0,118752
202,2022-04-08,PRO5,Centre-Val de Loire,395535059.0,1211952
203,2022-04-08,PRO5,Hauts-de-France,1053469269.0,1989932
204,2022-04-08,RES1 (+ RES1WE),Centre-Val de Loire,3133994057.0,23016080
